ID Num.,Station Name,Latitude,Longitude,1 Sep 2018,2 Sep 2018,3 Sep 2018,4 Sep 2018,5 Sep 2018,6 Sep 2018,7 Sep 2018,8 Sep 2018,9 Sep 2018,10 Sep 2018
1,Batu Pahat,1.866700053,102.9832993,0,0,3.21,5.2,0,1.81,58.05,14.4,3.02,1.24
2,Kluang,2.016700029,103.3167038,24.8,0,0,0.22,1.4,1.02,1.22,20.41,0,7.23
3,Kuala Pilah,2.726944444,102.2488889,0,10.6,0,0,1.8,35.21,3.23,0,0,0
4,LTA KLIA,2.716700077,101.6999969,0.02,0,0.02,12.02,0.01,24.65,16.4,0.21,1.62,41
5,LTA Senai,1.633299947,103.6667023,0.61,0,0,3.81,6.01,20.64,14.04,3.82,69.4,0.01
6,LT Ipoh,4.566699982,101.0999985,5.62,1.22,5.82,15.61,0,0,51.45,3.63,0.21,1.83
7,LT Melaka,2.266700029,102.2667007,2.61,0,0.01,7.4,34.6,0,0.02,4.8,5.43,0
8,LT Subang,3.116699934,101.5500031,3.4,49.62,0,0.81,0,45.21,8.82,0.02,0,12.64
9,Petaling Jaya,3.099999905,101.6500015,16.6,47,0,0.2,1.01,4.41,2.82,0.41,0.2,7
10,Sitiawan,4.216700077,100.6999969,0,0.01,0,0,0,9.21,1.85,14.83,25.82,1.44
