NO,STATION NUMBER,STATION NAME,STATION START YEAR,LAT ,LONG 
1,48604,CHUPING,1979,6.479785,100.26
2,48603,ALOR SETAR,1951,6.200548,100.40383
3,48600,PULAU LANGKAWI,1987,6.336623,99.726613
5,48602,BUTTERWORTH,1969,5.457305,100.388288
4,48601,BAYAN LEPAS,1951,5.296877,100.272129
7,48623,LUBOK MERBAU,1993,4.794691,100.895804
6,48625,IPOH,1951,4.566371,101.093367
8,48620,SITIAWAN,1951,4.221115,100.701029
10,48647,SUBANG,1966,3.130558,101.552496
9,48650,KLIA SEPANG,1998,2.730842,101.703183
11,48651,KUALA PILAH,2012,2.726771,102.24922
12,48665,MELAKA,1951,2.255102,102.243598
13,48670,BATU PAHAT,1992,1.869893,102.989882
14,48672,KLUANG,1974,2.014939,103.316903
16,48679,SENAI,1974,1.638373,103.665846
15,48674,MERSING,1951,2.444998,103.831096
17,48615,KOTA BHARU,1951,6.163765,102.300599
18,48616,KUALA KRAI,1984,5.573004,102.199779
19,48617,GONG KEDAK,2006,5.798789,102.50153
21,48618,KUALA TERENGGANU,1985,5.382688,103.107708
20,48614,KERTEH,2015,4.539953,103.42912
23,48632,CAMERON HIGHLANDS,1983,4.484353,101.371328
22,48642,BATU EMBUN,1982,3.971003,102.348009
24,48657,KUANTAN,1951,3.772188,103.211796
26,48653,TEMERLOH,1978,3.471203,102.378853
25,48649,MUADZAM SHAH,1983,3.053014,103.085479
27,96413,KUCHING,1951,1.490388,110.352657
28,96418,SRI AMAN,1983,1.221885,111.46581
29,96421,SIBU,1962,2.258241,111.98499
30,96451,MUKAH,2021,2.889569,112.043164
31,96420,KAPIT,2007,2.007896,112.929133
32,96441,BINTULU,1951,3.120026,113.024603
33,96449,MIRI,1951,4.315381,113.979102
34,96448,MULU,2006,4.048365,114.809747
35,96450,LIMBANG,2006,4.808588,115.007166
36,96465,LABUAN,1951,5.307518,115.242411
37,96467,KENINGAU,2009,5.337358,116.136455
38,96471,KOTA KINABALU,1951,5.93258,116.047425
39,96469,RANAU,2012,5.954852,116.681647
40,96477,KUDAT,1981,6.921936,116.836624
41,96491,SANDAKAN,1951,5.899212,118.066483
42,96481,TAWAU,1951,4.316249,118.118744
