,,,,,,,,,,,,,CURRENT,,,,,,,,,
,NO,STATION NUMBER,WIGOS ID,STATION NAME,STATE,DISTRICT,LAT.  °N,LONG. °E,"LAT
(DECIMAL DEGREES)","LONG
(DECIMAL DEGREES)",HEIGHT ABOVE MSL (meter),STATUS,STATION TYPE,UPPERAIR,STATION START DATE,STATION START YEAR,ADA PEMERHATI STN (YES / NO),"STATION CLOSED DATE 
(for CLOSED stn only)",LAST DATA RECEIVED,"OPERATION HOURS 
(for Principal stn only)",AGENCY,NOTE
,1,48604,0-20000-0-48604,CHUPING,PERLIS,PERLIS,"6° 28' 47.23""","100° 15' 36""",6.479785,100.26,21.7,ACTIVE,PRINCIPAL STATION,NO,01/Jan/1979,1979,N/A,NIL,NIL,24 HOURS,MET,
,2,48603,0-20000-0-48603,ALOR SETAR,KEDAH,KOTA SETAR,"6° 12' 1.97""","100° 24' 13.79""",6.200548,100.40383,3.9,ACTIVE,PRINCIPAL STATION,NO,1951,1951,N/A,NIL,NIL,24 HOURS,MET,
,3,48600,0-20000-0-48600,PULAU LANGKAWI,KEDAH,PULAU LANGKAWI,"6° 20' 11.84""","99° 43' 35.81""",6.336623,99.726613,6.4,ACTIVE,PRINCIPAL STATION,NO,01/Jul/1987,1987,N/A,NIL,NIL,24 HOURS,MET,
,5,48602,0-20000-0-48602,BUTTERWORTH,PULAU PINANG,SEBERANG PERAI (DAERAH UTARA),"5° 27' 26.3""","100° 23' 17.84""",5.457305,100.388288,3.33,ACTIVE,PRINCIPAL STATION,NO,1969,1969,N/A,NIL,NIL,24 HOURS,MET,
,4,48601,0-20000-0-48601,BAYAN LEPAS,PULAU PINANG,BARAT DAYA,"5° 17' 48.76""","100° 16' 19.66""",5.296877,100.272129,2.46,ACTIVE,PRINCIPAL STATION,YES,1951,1951,N/A,NIL,NIL,24 HOURS,MET,
,7,48623,0-20000-0-48623,LUBOK MERBAU,PERAK,KUALA KANGSAR,"4° 47' 40.89""","100° 53' 44.89""",4.794691,100.895804,77.5,ACTIVE,PRINCIPAL STATION,NO,11/Jan/1993,1993,N/A,NIL,NIL,24 HOURS,MET,
,6,48625,0-20000-0-486255,IPOH,PERAK,KINTA,"4° 33' 58.94""","101° 5' 36.12""",4.566371,101.093367,40.1,ACTIVE,PRINCIPAL STATION,NO,1951,1951,N/A,NIL,NIL,24 HOURS,MET,
,8,48620,0-20000-0-48620,SITIAWAN,PERAK,MANJUNG,"4° 13' 16.01""","100° 42' 3.7""",4.221115,100.701029,6.78,ACTIVE,PRINCIPAL STATION,NO,1951,1951,N/A,NIL,NIL,24 HOURS,MET,
,10,48647,0-20000-0-48647,SUBANG,SELANGOR,PETALING,"3° 7' 50.01""","101° 33' 8.99""",3.130558,101.552496,16.64,ACTIVE,PRINCIPAL STATION,NO,1966,1966,N/A,NIL,NIL,24 HOURS,MET,
,9,48650,0-20000-0-48650,KLIA SEPANG,SELANGOR,SEPANG,"2° 43' 51.03""","101° 42' 11.46""",2.730842,101.703183,16.11,ACTIVE,PRINCIPAL STATION,YES,01/Jul/1998,1998,N/A,NIL,NIL,24 HOURS,MET,
,11,48651,0-20000-0-48651,KUALA PILAH,NEGERI SEMBILAN,KUALA PILAH,"2° 43' 36.38""","102° 14' 57.19""",2.726771,102.24922,144,ACTIVE,PRINCIPAL STATION,NO,22/Mar/2012,2012,N/A,NIL,NIL,24 HOURS,MET,
,12,48665,0-20000-0-48665,MELAKA,MELAKA,MELAKA TENGAH,"2° 15' 18.37""","102° 14' 36.95""",2.255102,102.243598,8.5,ACTIVE,PRINCIPAL STATION,NO,1951,1951,N/A,NIL,NIL,24 HOURS,MET,
,13,48670,0-20000-0-48670,BATU PAHAT,JOHOR,BATU PAHAT,"1° 52' 11.61""","102° 59' 23.58""",1.869893,102.989882,6.3,ACTIVE,PRINCIPAL STATION,NO,01/Aug/1992,1992,N/A,NIL,NIL,24 HOURS,MET,
,14,48672,0-20000-0-48672,KLUANG,JOHOR,KLUANG,"2° 0' 53.78""","103° 19' 0.85""",2.014939,103.316903,88.1,ACTIVE,PRINCIPAL STATION,NO,1974,1974,N/A,NIL,NIL,24 HOURS,MET,
,16,48679,0-20000-0-48679,SENAI,JOHOR,JOHOR BAHRU,"1° 38' 18.14""","103° 39' 57.05""",1.638373,103.665846,37.8,ACTIVE,PRINCIPAL STATION,NO,01/Feb/1974,1974,N/A,NIL,NIL,24 HOURS,MET,
,15,48674,0-20000-0-48674,MERSING,JOHOR,MERSING,"2° 26' 41.99""","103° 49' 51.95""",2.444998,103.831096,43.6,ACTIVE,PRINCIPAL STATION,NO,1951,1951,N/A,NIL,NIL,24 HOURS,MET,
,17,48615,0-20000-0-48615,KOTA BHARU,KELANTAN,KOTA BHARU,"6° 9' 49.55""","102° 18' 2.16""",6.163765,102.300599,4.36,ACTIVE,PRINCIPAL STATION,YES,1951,1951,N/A,NIL,NIL,24 HOURS,MET,
,18,48616,0-20000-0-48616,KUALA KRAI,KELANTAN,KUALA KRAI,"5° 34' 22.81""","102° 11' 59.2""",5.573004,102.199779,68.3,ACTIVE,PRINCIPAL STATION,NO,12/Nov/1984,1984,N/A,NIL,NIL,24 HOURS,MET,
,19,48617,0-458-0-48617,GONG KEDAK,TERENGGANU,BESUT,"5° 47' 55.64""","102° 30' 5.51""",5.798789,102.50153,8.12,ACTIVE,PRINCIPAL STATION,NO,01/Sep/2006,2006,N/A,NIL,NIL,24 HOURS,MET,
,21,48618,0-20000-0-48618,KUALA TERENGGANU,TERENGGANU,KUALA TERENGGANU,"5° 22' 57.68""","103° 6' 27.75""",5.382688,103.107708,5.2,ACTIVE,PRINCIPAL STATION,NO,01/Jan/1985,1985,N/A,NIL,NIL,24 HOURS,MET,
